label,text
ABBR:abb,¿Qué representa el número «5» en la ropa de FUBU?
ABBR:abb,¿Cuál es el apellido medio de Mijail Gorbachov
ABBR:abb,¿Cuál es la expresión abreviada para la Oficina Nacional de Investigación
ABBR:abb,¿Cuál es la forma abreviada del Buró Nacional de Investigación
ABBR:abb,¿Cuál es el término abreviado utilizado para la Oficina Nacional de Investigación
ABBR:abb,¿Cuál es la abreviatura para el fabricante de equipo original?
ABBR:abb,¿Cuál es la abreviatura de Texas
ABBR:abb,¿Cuál es la abreviatura de micro?
ABBR:abb,¿Cuál es la abreviatura de General Motors
ABBR:abb,¿Cuál es la abreviatura del Comité Olímpico Internacional
ABBR:abb,¿Cuál es la abreviatura del Buró Nacional de Investigación
ABBR:abb,¿Cuál es la abreviatura del nombre de la empresa 'General Motors'?
ABBR:abb,¿Cuál es el acrónimo del Buró Nacional de Investigación
ABBR:abb,¿Cuál es el acrónimo del sistema de calificación para la eficiencia de los acondicionadores de aire?
ABBR:abb,¿Cuál es la forma correcta de abreviar cc. al final de una carta comercial?
ABBR:abb,¿Cuál es la abreviatura para la sociedad limitada
ABBR:abb,¿Cuál es la abreviatura de trinitrotolueno
ABBR:exp,CNN es un acrónimo de qué
ABBR:exp,CNN es la abreviatura de qué
ABBR:exp,La RCP es la abreviatura de qué
ABBR:exp,"En un ordenador, ¿qué significa SCSI?"
ABBR:exp,"¿Qué representan las letras CE en tantos productos, especialmente los eléctricos, que se compran ahora?"
ABBR:exp,"¿Qué representan las letras D.C. en Washington, D.C.?"
ABBR:exp,¿Qué significa 'PSI'?
ABBR:exp,¿Qué significa la sigla **B.Y.O.B.**?
ABBR:exp,"¿Qué representa A&W, famosa por su refresco de raíz?"
ABBR:exp,¿Qué significa BMW?
ABBR:exp,¿Qué significa BTU
ABBR:exp,¿Qué significa BUD?
ABBR:exp,¿Qué significa CNN?
ABBR:exp,¿Qué significa CPR?
ABBR:exp,¿Qué significa EKG?
ABBR:exp,¿Qué significa GMT?
ABBR:exp,¿Qué significa VIH
ABBR:exp,¿Qué significa I.V.?
ABBR:exp,¿Qué significa IBM?
ABBR:exp,¿Qué significa INRI cuando se utiliza en la cruz de Jesús?
ABBR:exp,¿Qué significa IOC?
ABBR:exp,¿Qué significa IQ
ABBR:exp,¿Qué significa JESSICA?
ABBR:exp,¿Qué significa LOL
ABBR:exp,¿Qué significa MSG?
ABBR:exp,"¿Qué representan las señoritas, señoritas y señoras?"
ABBR:exp,¿Qué significa NAFTA?
ABBR:exp,¿Qué significa NASA?
ABBR:exp,¿Qué significa NASDAQ?
ABBR:exp,¿Qué significa NECROSIS?
ABBR:exp,¿Qué significa NN O '' cuando se utiliza como prefijo en los apellidos irlandeses
ABBR:exp,¿Qué significa R.E.M. en el contexto del grupo de rock R.E.M.?
ABBR:exp,¿Qué significa RCA?
ABBR:exp,¿Qué significa S.O.S.?
ABBR:exp,¿Qué significa SHIELD?
ABBR:exp,¿Qué significa SIDS?
ABBR:exp,¿Qué significa URSS?
ABBR:exp,¿Qué significa USPS?
ABBR:exp,¿Qué significa VCR?
ABBR:exp,¿Qué significa e.g.?
ABBR:exp,¿Qué significa pH
ABBR:exp,¿Qué significa snafu?
ABBR:exp,¿A qué se refiere la «cinta azul»?
ABBR:exp,¿Qué significa la letra ''c'' en la ecuación E=mc²?
ABBR:exp,¿Qué significa la E en la ecuación E=mc²?
ABBR:exp,¿Qué significa T.S. en el nombre de T.S. Eliot?
ABBR:exp,¿Qué significa la abreviatura AIDS?
